excuse,headline,hyperlink
the fog was unexpected and did slow us down a bit,De Blasio Blames 'Rough Night' and Fog for Missing Flight 587 Ceremony,http://www.dnainfo.com/new-york/20141112/rockaway-park/de-blasio-arrives-20-minutes-late-flight-587-memorial-angering-families
we had some meetings at Gracie Mansion,De Blasio 30 Minutes Late to Rockaway St. Patrick's Day Parade,http://www.dnainfo.com/new-york/20150307/belle-harbor/de-blasio-30-minutes-late-rockaway-st-patricks-day-parade
I had a very rough night and woke up sluggish,De Blasio Blames 'Rough Night' and Fog for Missing Flight 587 Ceremony,http://www.dnainfo.com/new-york/20141112/rockaway-park/de-blasio-arrives-20-minutes-late-flight-587-memorial-angering-families
I just woke up in the middle of the night and couldn't get back to sleep,De Blasio Blames 'Rough Night' and Fog for Missing Flight 587 Ceremony,http://www.dnainfo.com/new-york/20141112/rockaway-park/de-blasio-arrives-20-minutes-late-flight-587-memorial-angering-families
we had some stuff we had to do,De Blasio 30 Minutes Late to Rockaway St. Patrick's Day Parade,http://www.dnainfo.com/new-york/20150307/belle-harbor/de-blasio-30-minutes-late-rockaway-st-patricks-day-parade
I should have gotten myself moving quicker,De Blasio Blames 'Rough Night' and Fog for Missing Flight 587 Ceremony,http://www.dnainfo.com/new-york/20141112/rockaway-park/de-blasio-arrives-20-minutes-late-flight-587-memorial-angering-families
I was just not feeling well this morning,De Blasio Blames 'Rough Night' and Fog for Missing Flight 587 Ceremony,http://www.dnainfo.com/new-york/20141112/rockaway-park/de-blasio-arrives-20-minutes-late-flight-587-memorial-angering-families
breakfast began a little later than expected,"De Blasio 15 Minutes Late to St. Patrick's Day Mass, Blames Breakfast",http://www.dnainfo.com/new-york/20150317/midtown/de-blasio-15-minutes-late-st-patricks-day-mass-blames-breakfast
the detail drove away when we went into the subway rather than waiting to confirm we got on a train,Mayor de Blasio Is Irked by a Subway Delay,http://www.nytimes.com/2015/05/06/nyregion/mayor-de-blasio-is-irked-by-a-subway-delay.html?ref=nyregion&_r=0
we waited 20 mins for an express only to hear there were major delays,Mayor de Blasio Is Irked by a Subway Delay,http://www.nytimes.com/2015/05/06/nyregion/mayor-de-blasio-is-irked-by-a-subway-delay.html?ref=nyregion&_r=0
we need a better system,Mayor de Blasio Is Irked by a Subway Delay,http://www.nytimes.com/2015/05/06/nyregion/mayor-de-blasio-is-irked-by-a-subway-delay.html?ref=nyregion&_r=0
